state,district,crop,season,year,area_ha,production_tonnes,final_yield_t_ha,yield_unit,geographic_level,source_name,source_url,retrieved_date
Tamil Nadu,TENKASI,Rice,Whole Year,2024,44469,163828,3.684,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,THANJAVUR,Rice,Whole Year,2024,209532,665523,3.176,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,THE NILGIRIS,Rice,Whole Year,2024,82,246,3.008,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,THENI,Rice,Whole Year,2024,13706,58781,4.289,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,THOOTHUKUDI,Rice,Whole Year,2024,12665,45834,3.619,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,TIRUCHIRAPALLI,Rice,Whole Year,2024,67931,260087,3.829,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,TIRUNELVELI,Rice,Whole Year,2024,41347,168212,4.068,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,TIRUPATHUR,Rice,Whole Year,2024,8242,32545,3.949,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,TIRUPPUR,Rice,Whole Year,2024,10253,44712,4.361,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,TIRUVALLUR,Rice,Whole Year,2024,104492,372227,3.562,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,TIRUVANNAMALAI,Rice,Whole Year,2024,185095,689741,3.726,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,TIRUVARUR,Rice,Whole Year,2024,195952,617781,3.153,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,VELLORE,Rice,Whole Year,2024,10171,33226,3.267,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,VILLUPURAM,Rice,Whole Year,2024,101445,318076,3.135,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,VIRUDHUNAGAR,Rice,Whole Year,2024,30594,85340,2.789,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
